No.,Time,Time 1,Time 2,,Delay 1,Delay 2,jitter,
1,0,0.000113,0.000113,,-0.000744,0.000857,0.001601,
2,0.000113,0.00097,0.000857,,-0.008199,0.009056,0.017255,
3,0.00097,0.010026,0.009056,,0.009056,0,-0.009056,
4,0.010026,0.010026,0,,0,0,0,
5,0.010026,0.010026,0,,-5.50E-05,5.50E-05,0.00011,
6,0.010026,0.010081,5.50E-05,,-0.003266,0.003321,0.006587,
7,0.010081,0.013402,0.003321,,0.003321,0,-0.003321,
8,0.013402,0.013402,0,,-0.010918,0.010918,0.021836,
9,0.013402,0.02432,0.010918,,0.010888,3.00E-05,-0.010858,
10,0.02432,0.02435,3.00E-05,,-0.024196,0.024226,0.048422,
11,0.02435,0.048576,0.024226,,0.024226,0,-0.024226,
12,0.048576,0.048576,0,,-2.80E-05,2.80E-05,5.60E-05,
13,0.048576,0.048604,2.80E-05,,-0.026983,0.027011,0.053994,
14,0.048604,0.075615,0.027011,,0.027011,0,-0.027011,
15,0.075615,0.075615,0,,0,0,0,
16,0.075615,0.075615,0,,0,0,0,
17,0.075615,0.075615,0,,0,0,0,
18,0.075615,0.075615,0,,0,0,0,
19,0.075615,0.075615,0,,-3.60E-05,3.60E-05,7.20E-05,
20,0.075615,0.075651,3.60E-05,,-0.017006,0.017042,0.034048,
21,0.075651,0.092693,0.017042,,0.007405,0.009637,0.002232,
22,0.092693,0.10233,0.009637,,0.009637,0,-0.009637,
23,0.10233,0.10233,0,,-3.90E-05,3.90E-05,7.80E-05,
24,0.10233,0.102369,3.90E-05,,-0.00533,0.005369,0.010699,
25,0.102369,0.107738,0.005369,,-0.075756,0.081125,0.156881,
26,0.107738,0.188863,0.081125,,0.042696,0.038429,-0.004267,
27,0.188863,0.227292,0.038429,,0.034974,0.003455,-0.031519,
28,0.227292,0.230747,0.003455,,0.003353,0.000102,-0.003251,
29,0.230747,0.230849,0.000102,,-0.039566,0.039668,0.079234,
30,0.230849,0.270517,0.039668,,0.013796,0.025872,0.012076,
31,0.270517,0.296389,0.025872,,0.023648,0.002224,-0.021424,
34,0.296389,0.298613,0.002224,,-0.004535,0.006759,0.011294,
35,0.298613,0.305372,0.006759,,-0.001563,0.008322,0.009885,
36,0.305372,0.313694,0.008322,,0.006978,0.001344,-0.005634,
37,0.313694,0.315038,0.001344,,-0.000867,0.002211,0.003078,
38,0.315038,0.317249,0.002211,,0.001783,0.000428,-0.001355,
39,0.317249,0.317677,0.000428,,0.000366,6.20E-05,-0.000304,
40,0.317677,0.317739,6.20E-05,,-0.000464,0.000526,0.00099,
41,0.317739,0.318265,0.000526,,-0.000714,0.00124,0.001954,
42,0.318265,0.319505,0.00124,,-0.007179,0.008419,0.015598,
43,0.319505,0.327924,0.008419,,0.008419,0,-0.008419,
44,0.327924,0.327924,0,,-7.20E-05,7.20E-05,0.000144,
45,0.327924,0.327996,7.20E-05,,3.20E-05,4.00E-05,8.00E-06,
46,0.327996,0.328036,4.00E-05,,-0.000579,0.000619,0.001198,
47,0.328036,0.328655,0.000619,,0.000546,7.30E-05,-0.000473,
48,0.328655,0.328728,7.30E-05,,-0.00362,0.003693,0.007313,
49,0.328728,0.332421,0.003693,,0.000385,0.003308,0.002923,
50,0.332421,0.335729,0.003308,,0.002576,0.000732,-0.001844,
51,0.335729,0.336461,0.000732,,0.000655,7.70E-05,-0.000578,
52,0.336461,0.336538,7.70E-05,,-0.000566,0.000643,0.001209,
53,0.336538,0.337181,0.000643,,-0.009145,0.009788,0.018933,
54,0.337181,0.346969,0.009788,,0.009788,0,-0.009788,
55,0.346969,0.346969,0,,0,0,0,
56,0.346969,0.346969,0,,-0.000117,0.000117,0.000234,
57,0.346969,0.347086,0.000117,,-0.000564,0.000681,0.001245,
58,0.347086,0.347767,0.000681,,0.000642,3.90E-05,-0.000603,
59,0.347767,0.347806,3.90E-05,,-0.000178,0.000217,0.000395,
60,0.347806,0.348023,0.000217,,-0.000364,0.000581,0.000945,
61,0.348023,0.348604,0.000581,,-0.002339,0.00292,0.005259,
62,0.348604,0.351524,0.00292,,0.002254,0.000666,-0.001588,
63,0.351524,0.35219,0.000666,,-0.003513,0.004179,0.007692,
64,0.35219,0.356369,0.004179,,0.004179,0,-0.004179,
65,0.356369,0.356369,0,,-0.005002,0.005002,0.010004,
66,0.356369,0.361371,0.005002,,0.005002,0,-0.005002,
67,0.361371,0.361371,0,,0,0,0,
68,0.361371,0.361371,0,,-0.000361,0.000361,0.000722,
69,0.361371,0.361732,0.000361,,2.30E-05,0.000338,0.000315,
70,0.361732,0.36207,0.000338,,-0.006071,0.006409,0.01248,
71,0.36207,0.368479,0.006409,,0.006409,0,-0.006409,
72,0.368479,0.368479,0,,0,0,0,
73,0.368479,0.368479,0,,0,0,0,
74,0.368479,0.368479,0,,-0.001173,0.001173,0.002346,
75,0.368479,0.369652,0.001173,,0.001139,3.40E-05,-0.001105,
76,0.369652,0.369686,3.40E-05,,-0.004157,0.004191,0.008348,
77,0.369686,0.373877,0.004191,,0.004191,0,-0.004191,
78,0.373877,0.373877,0,,0,0,0,
79,0.373877,0.373877,0,,-3.40E-05,3.40E-05,6.80E-05,
80,0.373877,0.373911,3.40E-05,,-0.001053,0.001087,0.00214,
81,0.373911,0.374998,0.001087,,-0.050382,0.051469,0.101851,
82,0.374998,0.426467,0.051469,,0.051469,0,-0.051469,
83,0.426467,0.426467,0,,-0.005296,0.005296,0.010592,
84,0.426467,0.431763,0.005296,,0.005296,0,-0.005296,
85,0.431763,0.431763,0,,-0.034621,0.034621,0.069242,
86,0.431763,0.466384,0.034621,,0.034621,0,-0.034621,
87,0.466384,0.466384,0,,0,0,0,
88,0.466384,0.466384,0,,0,0,0,
89,0.466384,0.466384,0,,-7.30E-05,7.30E-05,0.000146,
90,0.466384,0.466457,7.30E-05,,-0.001461,0.001534,0.002995,
91,0.466457,0.467991,0.001534,,-0.008892,0.010426,0.019318,
92,0.467991,0.478417,0.010426,,0.010426,0,-0.010426,
93,0.478417,0.478417,0,,0,0,0,
94,0.478417,0.478417,0,,-0.002879,0.002879,0.005758,
95,0.478417,0.481296,0.002879,,-0.103798,0.106677,0.210475,
96,0.481296,0.587973,0.106677,,0.106677,0,-0.106677,
97,0.587973,0.587973,0,,0,0,0,
98,0.587973,0.587973,0,,0,0,0,
99,0.587973,0.587973,0,,0,0,0,
100,0.587973,0.587973,0,,0,0,0,
101,0.587973,0.587973,0,,0,0,0,
102,0.587973,0.587973,0,,0,0,0,
103,0.587973,0.587973,0,,0,0,0,
104,0.587973,0.587973,0,,0,0,0,
105,0.587973,0.587973,0,,0,0,0,
106,0.587973,0.587973,0,,0,0,0,
107,0.587973,0.587973,0,,0,0,0,
108,0.587973,0.587973,0,,0,0,0,
109,0.587973,0.587973,0,,0,0,0,
110,0.587973,0.587973,0,,0,0,0,
111,0.587973,0.587973,0,,0,0,0,
112,0.587973,0.587973,0,,0,0,0,
113,0.587973,0.587973,0,,0,0,0,
114,0.587973,0.587973,0,,0,0,0,
115,0.587973,0.587973,0,,0,0,0,
116,0.587973,0.587973,0,,-0.000142,0.000142,0.000284,
117,0.587973,0.588115,0.000142,,7.50E-05,6.70E-05,-8.00E-06,
118,0.588115,0.588182,6.70E-05,,4.80E-05,1.90E-05,-2.90E-05,
119,0.588182,0.588201,1.90E-05,,-0.002705,0.002724,0.005429,
120,0.588201,0.590925,0.002724,,0.002724,0,-0.002724,
121,0.590925,0.590925,0,,-0.001004,0.001004,0.002008,
122,0.590925,0.591929,0.001004,,0.000925,7.90E-05,-0.000846,
123,0.591929,0.592008,7.90E-05,,-0.033793,0.033872,0.067665,
124,0.592008,0.62588,0.033872,,0.033872,0,-0.033872,
126,0.62588,0.62588,0,,-0.01307,0.01307,0.02614,
127,0.62588,0.63895,0.01307,,0.010796,0.002274,-0.008522,
128,0.63895,0.641224,0.002274,,0.002224,5.00E-05,-0.002174,
129,0.641224,0.641274,5.00E-05,,-0.014996,0.015046,0.030042,
130,0.641274,0.65632,0.015046,,-0.026856,0.041902,0.068758,
132,0.65632,0.698222,0.041902,,0.041798,0.000104,-0.041694,
133,0.698222,0.698326,0.000104,,-0.000241,0.000345,0.000586,
134,0.698326,0.698671,0.000345,,-0.029007,0.029352,0.058359,
135,0.698671,0.728023,0.029352,,0.029352,0,-0.029352,
136,0.728023,0.728023,0,,0,0,0,
137,0.728023,0.728023,0,,0,0,0,
138,0.728023,0.728023,0,,0,0,0,
139,0.728023,0.728023,0,,0,0,0,
140,0.728023,0.728023,0,,-0.000111,0.000111,0.000222,
141,0.728023,0.728134,0.000111,,-0.006604,0.006715,0.013319,
142,0.728134,0.734849,0.006715,,0.006715,0,-0.006715,
143,0.734849,0.734849,0,,-9.20E-05,9.20E-05,0.000184,
144,0.734849,0.734941,9.20E-05,,1.10E-05,8.10E-05,7.00E-05,
145,0.734941,0.735022,8.10E-05,,0,8.10E-05,8.10E-05,
146,0.735022,0.735103,8.10E-05,,-0.002871,0.002952,0.005823,
147,0.735103,0.738055,0.002952,,-0.013187,0.016139,0.029326,
148,0.738055,0.754194,0.016139,,0.016139,0,-0.016139,
149,0.754194,0.754194,0,,0,0,0,
150,0.754194,0.754194,0,,-0.000386,0.000386,0.000772,
151,0.754194,0.75458,0.000386,,-0.005431,0.005817,0.011248,
152,0.75458,0.760397,0.005817,,0.005759,5.80E-05,-0.005701,
153,0.760397,0.760455,5.80E-05,,-0.005581,0.005639,0.01122,
154,0.760455,0.766094,0.005639,,0.005639,0,-0.005639,
155,0.766094,0.766094,0,,-0.004493,0.004493,0.008986,
156,0.766094,0.770587,0.004493,,-0.006446,0.010939,0.017385,
157,0.770587,0.781526,0.010939,,-0.009028,0.019967,0.028995,
159,0.781526,0.801493,0.019967,,0.017507,0.00246,-0.015047,
160,0.801493,0.803953,0.00246,,-0.011479,0.013939,0.025418,
162,0.803953,0.817892,0.013939,,0.013506,0.000433,-0.013073,
163,0.817892,0.818325,0.000433,,2.80E-05,0.000405,0.000377,
164,0.818325,0.81873,0.000405,,-0.062521,0.062926,0.125447,
165,0.81873,0.881656,0.062926,,0.062532,0.000394,-0.062138,
166,0.881656,0.88205,0.000394,,-0.000618,0.001012,0.00163,
167,0.88205,0.883062,0.001012,,-0.084272,0.085284,0.169556,
168,0.883062,0.968346,0.085284,,0.076086,0.009198,-0.066888,
169,0.968346,0.977544,0.009198,,0.009033,0.000165,-0.008868,
170,0.977544,0.977709,0.000165,,-0.019627,0.019792,0.039419,
171,0.977709,0.997501,0.019792,,0.019792,0,-0.019792,
172,0.997501,0.997501,0,,0,0,0,
173,0.997501,0.997501,0,,-0.000148,0.000148,0.000296,
174,0.997501,0.997649,0.000148,,-0.02209,0.022238,0.044328,
175,0.997649,1.019887,0.022238,,0.022238,0,-0.022238,
176,1.019887,1.019887,0,,0,0,0,
177,1.019887,1.019887,0,,-0.000366,0.000366,0.000732,
178,1.019887,1.020253,0.000366,,8.50E-05,0.000281,0.000196,
179,1.020253,1.020534,0.000281,,-0.004018,0.004299,0.008317,
180,1.020534,1.024833,0.004299,,0.003987,0.000312,-0.003675,
181,1.024833,1.025145,0.000312,,-0.015371,0.015683,0.031054,
182,1.025145,1.040828,0.015683,,0.015683,0,-0.015683,
183,1.040828,1.040828,0,,0,0,0,
184,1.040828,1.040828,0,,0,0,0,
185,1.040828,1.040828,0,,-7.70E-05,7.70E-05,0.000154,
186,1.040828,1.040905,7.70E-05,,-0.007485,0.007562,0.015047,
187,1.040905,1.048467,0.007562,,0.007562,0,-0.007562,
188,1.048467,1.048467,0,,-0.002407,0.002407,0.004814,
189,1.048467,1.050874,0.002407,,-0.001838,0.004245,0.006083,
190,1.050874,1.055119,0.004245,,-0.00019,0.004435,0.004625,
191,1.055119,1.059554,0.004435,,-0.017852,0.022287,0.040139,
192,1.059554,1.081841,0.022287,,0.022205,8.20E-05,-0.022123,
193,1.081841,1.081923,8.20E-05,,-0.001576,0.001658,0.003234,
194,1.081923,1.083581,0.001658,,0.001534,0.000124,-0.00141,
195,1.083581,1.083705,0.000124,,-0.038945,0.039069,0.078014,
196,1.083705,1.122774,0.039069,,0.037528,0.001541,-0.035987,
197,1.122774,1.124315,0.001541,,0.001299,0.000242,-0.001057,
198,1.124315,1.124557,0.000242,,-0.270435,0.270677,0.541112,
199,1.124557,1.395234,0.270677,,0.270648,2.90E-05,-0.270619,
200,1.395234,1.395263,2.90E-05,,-0.009262,0.009291,0.018553,
201,1.395263,1.404554,0.009291,,-0.048382,0.057673,0.106055,
202,1.404554,1.462227,0.057673,,0.051687,0.005986,-0.045701,
203,1.462227,1.468213,0.005986,,-0.084132,0.090118,0.17425,
204,1.468213,1.558331,0.090118,,0.090118,0,-0.090118,
205,1.558331,1.558331,0,,-9.10E-05,9.10E-05,0.000182,
206,1.558331,1.558422,9.10E-05,,-0.111668,0.111759,0.223427,
207,1.558422,1.670181,0.111759,,0.111631,0.000128,-0.111503,
208,1.670181,1.670309,0.000128,,2.30E-05,0.000105,8.20E-05,
209,1.670309,1.670414,0.000105,,0.000105,0,-0.000105,
210,1.670414,1.670414,0,,-0.203108,0.203108,0.406216,
211,1.670414,1.873522,0.203108,,0.203108,0,-0.203108,
212,1.873522,1.873522,0,,-7.90E-05,7.90E-05,0.000158,
213,1.873522,1.873601,7.90E-05,,-0.020098,0.020177,0.040275,
214,1.873601,1.893778,0.020177,,0.020177,0,-0.020177,
215,1.893778,1.893778,0,,-0.000155,0.000155,0.00031,
216,1.893778,1.893933,0.000155,,-0.033949,0.034104,0.068053,
217,1.893933,1.928037,0.034104,,0.03397,0.000134,-0.033836,
218,1.928037,1.928171,0.000134,,-0.153061,0.153195,0.306256,
219,1.928171,2.081366,0.153195,,0.153195,0,-0.153195,
233,2.081366,2.081366,0,,0,0,0,
235,2.081366,2.081366,0,,0,0,0,
236,2.081366,2.081366,0,,-0.013281,0.013281,0.026562,
237,2.081366,2.094647,0.013281,,0.01317,0.000111,-0.013059,
239,2.094647,2.094758,0.000111,,-0.002443,0.002554,0.004997,
240,2.094758,2.097312,0.002554,,0.002371,0.000183,-0.002188,
241,2.097312,2.097495,0.000183,,-0.012337,0.01252,0.024857,
242,2.097495,2.110015,0.01252,,-0.106006,0.118526,0.224532,
243,2.110015,2.228541,0.118526,,0.118526,0,-0.118526,
274,2.228541,2.228541,0,,-0.000102,0.000102,0.000204,
275,2.228541,2.228643,0.000102,,-0.002733,0.002835,0.005568,
276,2.228643,2.231478,0.002835,,-0.004144,0.006979,0.011123,
279,2.231478,2.238457,0.006979,,0.006979,0,-0.006979,
280,2.238457,2.238457,0,,-8.90E-05,8.90E-05,0.000178,
281,2.238457,2.238546,8.90E-05,,-0.0689,0.068989,0.137889,
282,2.238546,2.307535,0.068989,,0.068989,0,-0.068989,
284,2.307535,2.307535,0,,-0.000204,0.000204,0.000408,
285,2.307535,2.307739,0.000204,,-0.007984,0.008188,0.016172,
286,2.307739,2.315927,0.008188,,0.008188,0,-0.008188,
287,2.315927,2.315927,0,,-0.002889,0.002889,0.005778,
288,2.315927,2.318816,0.002889,,-0.015743,0.018632,0.034375,
289,2.318816,2.337448,0.018632,,0.018537,9.50E-05,-0.018442,
290,2.337448,2.337543,9.50E-05,,-0.001104,0.001199,0.002303,
291,2.337543,2.338742,0.001199,,0.001123,7.60E-05,-0.001047,
292,2.338742,2.338818,7.60E-05,,-0.069573,0.069649,0.139222,
293,2.338818,2.408467,0.069649,,-0.068975,0.138624,0.207599,
294,2.408467,2.547091,0.138624,,0.131464,0.00716,-0.124304,
296,2.547091,2.554251,0.00716,,-0.011314,0.018474,0.029788,
297,2.554251,2.572725,0.018474,,0.018086,0.000388,-0.017698,
298,2.572725,2.573113,0.000388,,-0.015542,0.01593,0.031472,
299,2.573113,2.589043,0.01593,,0.015861,6.90E-05,-0.015792,
300,2.589043,2.589112,6.90E-05,,-0.002204,0.002273,0.004477,
301,2.589112,2.591385,0.002273,,0.002074,0.000199,-0.001875,
302,2.591385,2.591584,0.000199,,-0.003549,0.003748,0.007297,
303,2.591584,2.595332,0.003748,,0.00341,0.000338,-0.003072,
304,2.595332,2.59567,0.000338,,-0.000713,0.001051,0.001764,
305,2.59567,2.596721,0.001051,,-0.061849,0.0629,0.124749,
306,2.596721,2.659621,0.0629,,0.062549,0.000351,-0.062198,
307,2.659621,2.659972,0.000351,,-0.091027,0.091378,0.182405,
308,2.659972,2.75135,0.091378,,0.076634,0.014744,-0.06189,
310,2.75135,2.766094,0.014744,,-0.020712,0.035456,0.056168,
311,2.766094,2.80155,0.035456,,0.035456,0,-0.035456,
312,2.80155,2.80155,0,,0,0,0,
313,2.80155,2.80155,0,,0,0,0,
314,2.80155,2.80155,0,,0,0,0,
315,2.80155,2.80155,0,,0,0,0,
316,2.80155,2.80155,0,,-0.00061,0.00061,0.00122,
317,2.80155,2.80216,0.00061,,-0.011118,0.011728,0.022846,
318,2.80216,2.813888,0.011728,,0.011728,0,-0.011728,
319,2.813888,2.813888,0,,0,0,0,
320,2.813888,2.813888,0,,0,0,0,
321,2.813888,2.813888,0,,0,0,0,
322,2.813888,2.813888,0,,-0.000105,0.000105,0.00021,
323,2.813888,2.813993,0.000105,,-0.003698,0.003803,0.007501,
324,2.813993,2.817796,0.003803,,4.20E-05,0.003761,0.003719,
325,2.817796,2.821557,0.003761,,0.003674,8.70E-05,-0.003587,
326,2.821557,2.821644,8.70E-05,,-0.002136,0.002223,0.004359,
327,2.821644,2.823867,0.002223,,0.001992,0.000231,-0.001761,
328,2.823867,2.824098,0.000231,,-0.18193,0.182161,0.364091,
329,2.824098,3.006259,0.182161,,0.178485,0.003676,-0.174809,
330,3.006259,3.009935,0.003676,,0.003676,0,-0.003676,
331,3.009935,3.009935,0,,0,0,0,
332,3.009935,3.009935,0,,-0.000143,0.000143,0.000286,
333,3.009935,3.010078,0.000143,,-0.000208,0.000351,0.000559,
334,3.010078,3.010429,0.000351,,0.000351,0,-0.000351,
335,3.010429,3.010429,0,,-3.10E-05,3.10E-05,6.20E-05,
336,3.010429,3.01046,3.10E-05,,-0.000596,0.000627,0.001223,
337,3.01046,3.011087,0.000627,,-0.017609,0.018236,0.035845,
338,3.011087,3.029323,0.018236,,0.018236,0,-0.018236,
339,3.029323,3.029323,0,,0,0,0,
340,3.029323,3.029323,0,,0,0,0,
341,3.029323,3.029323,0,,0,0,0,
342,3.029323,3.029323,0,,0,0,0,
343,3.029323,3.029323,0,,0,0,0,
344,3.029323,3.029323,0,,0,0,0,
345,3.029323,3.029323,0,,0,0,0,
346,3.029323,3.029323,0,,-0.000214,0.000214,0.000428,
347,3.029323,3.029537,0.000214,,-0.01621,0.016424,0.032634,
348,3.029537,3.045961,0.016424,,0.016424,0,-0.016424,
352,3.045961,3.045961,0,,-0.017249,0.017249,0.034498,
353,3.045961,3.06321,0.017249,,0.017249,0,-0.017249,
354,3.06321,3.06321,0,,0,0,0,
355,3.06321,3.06321,0,,-7.80E-05,7.80E-05,0.000156,
356,3.06321,3.063288,7.80E-05,,-0.01511,0.015188,0.030298,
360,3.063288,3.078476,0.015188,,0.014925,0.000263,-0.014662,
362,3.078476,3.078739,0.000263,,0.00019,7.30E-05,-0.000117,
363,3.078739,3.078812,7.30E-05,,-0.013727,0.0138,0.027527,
364,3.078812,3.092612,0.0138,,0.011585,0.002215,-0.00937,
366,3.092612,3.094827,0.002215,,-0.043635,0.04585,0.089485,
367,3.094827,3.140677,0.04585,,-0.045217,0.091067,0.136284,
374,3.140677,3.231744,0.091067,,-0.01597,0.107037,0.123007,
451,3.231744,3.338781,0.107037,,0.107037,0,-0.107037,
549,3.338781,3.338781,0,,-0.000372,0.000372,0.000744,
551,3.338781,3.339153,0.000372,,-0.510724,0.511096,1.02182,
559,3.339153,3.850249,0.511096,,0.45055,0.060546,-0.390004,
961,3.850249,3.910795,0.060546,,0.017712,0.042834,0.025122,
1015,3.910795,3.953629,0.042834,,0.042635,0.000199,-0.042436,
1045,3.953629,3.953828,0.000199,,-0.000626,0.000825,0.001451,
1048,3.953828,3.954653,0.000825,,-0.016167,0.016992,0.033159,
1053,3.954653,3.971645,0.016992,,0.016774,0.000218,-0.016556,
1057,3.971645,3.971863,0.000218,,-0.000717,0.000935,0.001652,
1061,3.971863,3.972798,0.000935,,-0.009571,0.010506,0.020077,
1062,3.972798,3.983304,0.010506,,-0.001547,0.012053,0.0136,
1076,3.983304,3.995357,0.012053,,0.012053,0,-0.012053,
1081,3.995357,3.995357,0,,0,0,0,
1084,3.995357,3.995357,0,,-0.000884,0.000884,0.001768,
1086,3.995357,3.996241,0.000884,,-0.016729,0.017613,0.034342,
1088,3.996241,4.013854,0.017613,,0.017613,0,-0.017613,
1091,4.013854,4.013854,0,,0,0,0,
1093,4.013854,4.013854,0,,0,0,0,
1095,4.013854,4.013854,0,,-0.000199,0.000199,0.000398,
1097,4.013854,4.014053,0.000199,,-0.002425,0.002624,0.005049,
